Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,0.1uF,
C4,CP_Elec_10x10.5,1,680uF,https://www.lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_KNSCHA-126RV0105_C7461236.html
C5,CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder,1,220uF,
D1,0805,1,RXD,
D2,0805,1,TXD,
"D3, D5",D_SOD-323_HandSoldering,2,SS53C,
D4,D_SOD-323_HandSoldering,1,10V,
D6,0805,1,LED,
J1,PinHeader_1x08_P2.54mm_Vertical,1,CONTROL/SERIAL,
J2,PinHeader_1x10_P2.54mm_Vertical,1,MISC,
J3,PinHeader_1x06_P2.54mm_Vertical,1,ADC/SENSE,
J4,PinHeader_1x08_P2.54mm_Vertical,1,POWER,
J5,TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal,1,RS485 B,
J6,TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal,1,EXTRA POWER,
J7,TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal,1,BATTERY,
J8,TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal,1,RS485 A,
L1,L_Abracon_ASPI-0630LR,1,33uH,
"Q1, Q3",SOT-23,2,S8050,
Q2,SOP-8_3.9x4.9mm_P1.27mm,1,Si9945AEY-T1,
"R1, R17, R20, R26, R3, R8",0805,6,4.7K,
"R10, R12, R13, R14, R21",0805,5,10K,
"R11, R16",0805,2,0R,DNP
"R15, R24, R4, R9",0805,4,1K,
R18,0805,1,2700k,
"R19, R22",0805,2,82k,
R2,0805,1,0R,
"R23, R25",0805,2,100k,
"R5, R7",0805,2,10R,
R6,0805,1,120R,
TP1,TestPoint_Pad_D2.0mm,1,RO,
TP10,TestPoint_Pad_D2.0mm,1,FUGA,
TP17,TestPoint_Pad_D2.0mm,1,GATE,
TP2,TestPoint_Pad_D2.0mm,1,DI,
TP3,TestPoint_Pad_D2.0mm,1,~{RE},
TP4,TestPoint_Pad_D2.0mm,1,DE,
TP5,TestPoint_Pad_D2.0mm,1,UV,
TP6,TestPoint_Pad_D2.0mm,1,OV,
TP7,TestPoint_Pad_D2.0mm,1,SHDN,
TP8,TestPoint_Pad_D2.0mm,1,FAULT,
TP9,TestPoint_Pad_D2.0mm,1,FUEL_GAUGE,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,
U2,Infineon_PG-DSO-20-32,1,BTS724G,
U3,SOT-353_SC-70-5,1,74LVC1G08GW,
U4,SOT-23-5,1,LM321,
U5,TO-263-5_TabPin3,1,LM2596S-5,
U6,TSOT-23-8,1,LTC4365TS8,
